episode,reward,steps,avg10,avg100,epsilon,time_elapsed,real_time_elapsed,timestamp
2600,-9.312207794189455,115,-13.727445907592772,-13.163603847980497,0.07425127223384173,0.009976041999998131,0.0,2025-04-09 20:49:50.755791
2700,-32.7042739868164,235,-15.674402370452873,-15.017430953979497,0.06718196803038223,0.05668533300000078,0.0,2025-04-09 20:49:53.072209
2800,-41.9694534301759,351,-14.531138935089121,-16.86725452995301,0.06078571710153414,0.08270525000000006,0.0,2025-04-09 20:49:55.874338
2900,-16.2165557861328,157,-15.605317192077624,-17.715217722892763,0.054998439490143596,0.02332783299999619,0.0,2025-04-09 20:49:58.554588
3000,-15.546265411376933,167,-15.517384185790998,-17.47338841629029,0.04976215615419044,0.03192887499999841,0.0,2025-04-09 20:50:01.419187
3100,-7.651660537719728,102,-14.742048377990722,-19.763946836471572,0.045024408111757654,0.009611082999995801,0.0,2025-04-09 20:50:04.587252
3200,-34.14338684082041,332,-32.43459733963023,-21.042268980026265,0.04073773088796111,0.08292145899999781,0.0,2025-04-09 20:50:08.093611
3300,-83.42531127929733,595,-30.488359565734946,-21.650074695587183,0.03685917899865878,0.1589500409999971,0.0,2025-04-09 20:50:11.955339
3400,-11.771321105957032,107,-20.72379028320315,-25.996778699874923,0.033349895707044996,0.01597662500000041,0.0,2025-04-09 20:50:16.593015
3500,-9.878181838989256,136,-36.49945812225336,-29.654358699798617,0.03017472374279552,0.01796145899999857,0.0,2025-04-09 20:50:22.275072
3600,-26.830869293212864,257,-24.737957649231,-27.373411352157646,0.027301853083806962,0.055785249999999564,0.0,2025-04-09 20:50:27.435006
3700,-26.93790893554685,188,-32.03325900077827,-30.183266671180796,0.024702502271880755,0.03856429100000014,0.0,2025-04-09 20:50:33.441638
3800,-22.747890472412074,210,-35.49561336517344,-32.002735312461915,0.022350630069656263,0.04548437500000091,0.0,2025-04-09 20:50:39.487425
3900,-15.738712310791017,105,-46.89180690765395,-39.90388970565798,0.0202226745700685,0.015667750000005753,0.0,2025-04-09 20:50:47.725459
4000,-9.176897430419922,101,-29.93070714950567,-35.183029600143406,0.01829731714463408,0.00862591700000337,0.0,2025-04-09 20:50:56.109545
4100,-52.94166717529318,432,-41.19434057235698,-46.80371685504896,0.016555268865713936,0.12298520799998869,0.0,2025-04-09 20:51:07.397564
4200,-56.84708099365254,391,-45.6112446594239,-40.80139668369295,0.014979077263054056,0.1198043330000047,0.0,2025-04-09 20:51:17.267622
4300,-13.505565643310549,110,-57.76206010818462,-48.767516396522424,0.013552951478620824,0.016345667000010167,0.0,2025-04-09 20:51:29.799290
4400,-13.64635772705078,101,-45.1045115852352,-46.22898199462891,0.012262604068069257,0.018703541999997242,0.0,2025-04-09 20:51:42.065481
4500,-50.21126556396513,480,-36.886632499695004,-54.84084038066858,0.011095107863953686,0.14774683300001357,0.0,2025-04-09 20:51:57.300415
4600,-11.771082305908203,71,-36.873937149048075,-48.6223108520506,0.010038766466684862,0.009591292000010299,0.0,2025-04-09 20:52:12.678868
