episode,reward,steps,avg10,avg100,avg100success,epsilon,time_elapsed,real_time_elapsed,timestamp
3200,-4.565845897674529,210.88,-0.7829209391556298,-0.9108507808441615,20.0,0.05,0.2778441660000226,0.0,2025-04-11 11:29:08.763480
3300,-2.9833833427429215,205.09,-2.8243379397392245,-1.9421382611215119,10.0,0.05,0.14844837499998675,0.0,2025-04-11 11:29:25.367309
3400,-2.95519290161133,177.48,-2.8223513726234426,-1.5724947874678148,11.0,0.05,0.17575116699998716,0.0,2025-04-11 11:29:41.228436
3500,5.337210583970359,180.27,0.36424224033017305,-0.6365833974299835,23.0,0.05,0.12382991599997695,0.0,2025-04-11 11:29:58.719857
3600,-2.4222784252166756,203.5,-1.105743749579053,-2.0955334809228656,10.0,0.05,0.09600508299996591,0.0,2025-04-11 11:30:13.747184
3700,-3.1066943016052244,176.98,-2.196940469563768,-1.8219804180521917,10.0,0.05,0.14035350000000335,0.0,2025-04-11 11:30:26.167062
3800,-3.1342053260803215,184.89,-3.267436334609976,-1.406288464057833,14.000000000000002,0.05,0.17136462499996696,0.0,2025-04-11 11:30:41.138099
3900,-3.890808246612532,186.69,-1.9218715655746288,-1.9100983091139907,10.0,0.05,0.21794254199994612,0.0,2025-04-11 11:30:56.803274
4000,-3.8708946905135937,191.88,-3.2248742735862637,-1.5715883325448194,12.0,0.05,0.295433375000016,0.0,2025-04-11 11:31:15.685331
4100,-2.2474633865356455,203.47,-1.7201076982118337,-1.7577678310172997,13.0,0.05,0.0946499159999803,0.0,2025-04-11 11:31:31.238379
4200,-3.148990341186522,202.95,-1.4391395744106976,-2.0143049764382925,9.0,0.05,0.14764341600005082,0.0,2025-04-11 11:31:46.605013
4300,10.278370549149948,209.71,0.0932518029998132,-1.890793656352599,11.0,0.05,0.1562288750000107,0.0,2025-04-11 11:32:00.962516
4400,-2.706190429687501,208.53,-0.959812654398787,-1.958284746338672,11.0,0.05,0.11179429200001323,0.0,2025-04-11 11:32:15.813632
4500,8.267416459558795,222.61,-1.2396309165060952,-2.1235494422181778,11.0,0.05,0.1263368749999927,0.0,2025-04-11 11:32:30.974087
4600,-3.3283861846923775,223.58,-3.4241657235145446,-2.638461716716457,6.0,0.05,0.16696204200002285,0.0,2025-04-11 11:32:46.940927
4700,-2.1274242591857915,221.95,-1.9884337191091785,-2.027496125386177,11.0,0.05,0.08849341600000571,0.0,2025-04-11 11:33:03.332644
4800,-3.6221539535522354,197.02,-2.0821348825881625,-2.306322861515221,8.0,0.05,0.17968900000005306,0.0,2025-04-11 11:33:17.861973
4900,-2.79269368171692,200.39,-1.4873771634140227,-2.1941854131068226,8.0,0.05,0.12791820900008588,0.0,2025-04-11 11:33:32.680261
5000,-2.80332031440735,210.88,-1.7151609225298536,-1.6120893667362735,13.0,0.05,0.12623708299997816,0.0,2025-04-11 11:33:47.939090
5100,-2.609288711547853,214.97,-1.5832232928104806,-1.957715382925478,12.0,0.05,0.10438174999990224,0.0,2025-04-11 11:34:02.733525
5200,8.932582782759836,226.55,-0.5221240017317772,-1.9657270923941599,13.0,0.05,0.14499308300003122,0.0,2025-04-11 11:34:17.779885
5300,-3.9203098831176586,231.38,-3.8833240112304495,-2.3664225465307744,9.0,0.05,0.18043820900004448,0.0,2025-04-11 11:34:33.171445
5400,-2.3839685735702525,208.06,-1.6193899850550626,-2.6502243175916407,4.0,0.05,0.08984154200004468,0.0,2025-04-11 11:34:47.016115
5500,10.19400024032273,201.18,0.5304842602648929,-2.1317997440058236,7.000000000000001,0.05,0.1183072500000435,0.0,2025-04-11 11:35:02.041028
5600,-3.221839729309079,227.84,-3.186054960823052,-2.311498271786434,9.0,0.05,0.15752558300005148,0.0,2025-04-11 11:35:18.808639
5700,-3.6596925048828006,228.92,-3.2721425158500588,-2.714635054730499,7.000000000000001,0.05,0.28215737499999705,0.0,2025-04-11 11:35:42.840195
5800,-5.022470260620076,231.58,-2.066496266145407,-2.142331189157193,12.0,0.05,0.4380042919999596,0.0,2025-04-11 11:36:08.666860
5900,-3.3106238403320267,233.06,0.31218992378580274,-2.125307285910414,12.0,0.05,0.2591472080000585,0.0,2025-04-11 11:36:33.211196
6000,-2.15274069595337,240.55,-1.0598318503345028,-2.2111024366620424,12.0,0.05,0.10988233299997319,0.0,2025-04-11 11:36:57.182859
6100,-3.0198944683074966,231.51,-1.0587523530227654,-2.4694098668314965,8.0,0.05,0.2125483750000967,0.0,2025-04-11 11:37:21.632486
6200,7.623296493141016,227.46,-2.8386608286292994,-2.311127137153669,9.0,0.05,0.3626219170000695,0.0,2025-04-11 11:37:46.634315
6300,-3.819145519256577,234.92,-2.76995145954842,-2.2856196626930934,11.0,0.05,0.278607500000021,0.0,2025-04-11 11:38:13.012803
6400,8.461602504230093,235.55,-1.368349562068665,-2.2876035009023887,12.0,0.05,0.17708591600001,0.0,2025-04-11 11:38:37.313200
6500,-5.386836956024122,241.96,-3.7751948196078913,-2.2587690834937155,12.0,0.05,0.46229329100003724,0.0,2025-04-11 11:39:01.253861
6600,-7.3727004890440995,231.62,-3.6968886994361725,-2.2270615107324847,11.0,0.05,0.6405830410000135,0.0,2025-04-11 11:39:25.171804
6700,4.784865012694271,234.52,-1.2571732796397892,-2.035685047867251,12.0,0.05,0.27880549999986215,0.0,2025-04-11 11:39:53.450972
6800,-2.418040838241578,235.77,-2.489030065233819,-1.9604769789290373,13.0,0.05,0.19272504099990329,0.0,2025-04-11 11:40:27.736648
6900,-4.849373472213708,222.63,-0.9125821137981662,-2.0446359136709567,12.0,0.05,0.5039330420001988,0.0,2025-04-11 11:40:58.751127
7000,-2.6125811424255385,239.56,-3.122658482170099,-2.584813714885446,8.0,0.05,0.22777166600008059,0.0,2025-04-11 11:41:34.308518
7100,5.1521981610014365,236.86,-1.3963805690710014,-2.199368018369478,12.0,0.05,0.7127956249998988,0.0,2025-04-11 11:42:10.615511
7200,-2.5191937618255626,224.45,-2.8672308717727635,-2.1589678916229467,11.0,0.05,0.22037670800000342,0.0,2025-04-11 11:42:44.309869
7300,-3.0174941234588637,213.36,-1.0035590445481557,-2.5187764218171567,6.0,0.05,0.30688787500002945,0.0,2025-04-11 11:43:16.853403
7400,-2.560442111968995,219.36,-2.1591125422360724,-2.4200358911010933,8.0,0.05,0.2545293330001641,0.0,2025-04-11 11:43:53.353961
7500,-2.465050115585328,200.38,0.3186852531012817,-1.3849220798562643,15.0,0.05,0.3461020830000052,0.0,2025-04-11 11:44:27.703029
7600,-2.880537136077882,203.76,-1.8860297221462237,-2.1136108943673557,10.0,0.05,0.29272737500014046,0.0,2025-04-11 11:44:59.067506
7700,-4.133031894683816,205.16,-2.6446157347002446,-2.062670572911405,9.0,0.05,0.4628609580001921,0.0,2025-04-11 11:45:30.026507
7800,-2.416839473724366,172.89,-1.3552855190423267,-1.3644617866412936,13.0,0.05,0.2331599169999663,0.0,2025-04-11 11:45:58.962912
7900,-3.962230087280255,210.44,-2.5733011424168026,-2.135235508989058,10.0,0.05,0.4564589579999847,0.0,2025-04-11 11:46:34.872875
8000,-4.069728889465312,208.51,-2.325405657953508,-2.095315707536552,9.0,0.05,0.4469004169998243,0.0,2025-04-11 11:47:07.672496
8100,7.4540757576566765,226.92,0.4285074955199926,-2.403345069370302,9.0,0.05,0.40804741700003433,0.0,2025-04-11 11:47:42.597638
8200,-3.0923021354675293,229.17,-3.594742934417712,-2.4736496872124842,8.0,0.05,0.35997308400010297,0.0,2025-04-11 11:48:22.943177
8300,-3.4237447586059497,213.13,-1.0531069564075122,-2.1095650270078785,9.0,0.05,0.3642661249998582,0.0,2025-04-11 11:48:59.517651
