episode,reward,steps,avg10,avg100,avg100success,epsilon,time_elapsed,real_time_elapsed,timestamp
100,-2.0856996650695807,144.4,0.6079011311214007,-0.19411761123589108,20.0,0.9056978449586682,0.005041500000000365,0.0,2025-04-11 13:01:22.656992
200,-2.7266160678863534,151.8,1.9659297566981178,-1.3089383211819687,12.0,0.8194682977764125,0.007082166000000001,0.0,2025-04-11 13:01:23.339824
300,11.176866935205513,149.13,1.4528035851528238,-0.1015217291009062,22.0,0.7414484806367364,0.007628999999999664,0.0,2025-04-11 13:01:24.026323
400,7.587955633367068,148.85,1.3202785142622973,-0.324291809383836,21.0,0.6708567627695098,0.006435834000000362,0.0,2025-04-11 13:01:24.767815
500,-2.7778297576904305,151.14,-0.14641221118923,-1.033924375042416,14.000000000000002,0.6069859307919768,0.006825499999999707,0.0,2025-04-11 13:01:25.600658
600,-2.4907387323379524,149.41,-1.6339179324824005,-1.367382243678439,11.0,0.5491961035890855,0.006256042000000406,0.0,2025-04-11 13:01:26.410745
700,-2.616671327590944,153.28,0.45033680290656986,-1.2438086727204203,13.0,0.49690832175285177,0.004989334000000234,0.0,2025-04-11 13:01:27.247045
800,-2.548717773437501,158.3,-1.6758812102631484,-1.2882096959091973,13.0,0.44959874735743227,0.006312791000000928,0.0,2025-04-11 13:01:28.225477
900,-3.0129976654052744,153.33,-1.8399229337305918,-0.9451151927294162,16.0,0.4067934159611651,0.0343813750000006,0.0,2025-04-11 13:01:29.195179
1000,-2.8892090282440197,165.21,-1.1020973359787147,-1.024503466082515,15.0,0.36806348825922275,0.008986832999999805,0.0,2025-04-11 13:01:30.240637
1100,-3.1675479927063006,151.75,-0.7368286225254856,-0.6449258564856961,17.0,0.3330209538162239,0.02616279100000085,0.0,2025-04-11 13:01:31.220277
1200,-2.344761151313783,154.61,-1.8496499876236723,-0.14897732616740303,25.0,0.3013147438372364,0.0057438330000003646,0.0,2025-04-11 13:01:32.086627
1300,9.876495104489178,160.05,0.9950908528166613,-1.0644042768596653,15.0,0.2726272140335106,0.010247582999999949,0.0,2025-04-11 13:01:33.289865
