episode,avg_rewards,avg_steps,avg_success,epsilon,time_elapsed,real_time_elapsed
100,0.2875700920439841,74.91,9.0,0.9056978449586682,0.015391249999999967,0.0
200,0.5185216694648173,73.63,11.0,0.8194682977764125,0.008253333999999946,0.0
300,0.4573803373242,78.73,11.0,0.7414484806367364,0.008115000000000094,0.0
400,0.6773504150093815,79.79,13.0,0.6708567627695098,0.004666625000000479,0.0
500,0.432521499701445,72.23,10.0,0.6069859307919768,0.0038637909999996722,0.0
600,0.057780734480618684,73.58,7.000000000000001,0.5491961035890855,0.0037249590000003607,0.0
700,-0.10057382446597822,77.15,6.0,0.49690832175285177,0.006190042000000062,0.0
800,-0.045133967220916095,72.43,6.0,0.44959874735743227,0.0030233339999998776,0.0
900,0.7407833112188215,73.05,13.0,0.4067934159611651,0.003566750000000951,0.0
1000,0.3864368278063069,74.54,10.0,0.36806348825922275,0.005473499999999021,0.0
1100,0.18862214664487204,72.69,8.0,0.3330209538162239,0.0030070410000000436,0.0
1200,0.031662978141664064,73.94,7.000000000000001,0.3013147438372364,0.009704667000001166,0.0
1300,0.5290147144265385,71.19,11.0,0.2726272140335106,0.004334999999999312,0.0
1400,0.526549086933078,71.58,11.0,0.24667096234700878,0.003526917000000296,0.0
1500,-0.08954512091744977,75.87,6.0,0.22318594965255484,0.0037162500000000875,0.0
1600,-0.1655734521944666,72.31,5.0,0.2019368945917472,0.0040165830000002956,0.0
1700,0.2762877484770081,73.82,9.0,0.1827109164391416,0.004347375000000042,0.0
1800,1.019471123863273,70.39,15.0,0.1653154023860845,0.00314679199999901,0.0
1900,0.5031009190898798,73.2,11.0,0.14957607787587202,0.0034048330000011617,0.0
2000,0.8788291185899851,72.76,14.000000000000002,0.13533526065815754,0.0031872079999999414,0.0
2100,1.0414302725553544,69.39,15.0,0.12245028107108785,0.0032793750000017496,0.0
2200,-0.2016393981659559,75.98,5.0,0.11079205272498677,0.00324408400000209,0.0
2300,0.49171192343444864,74.72,11.0,0.100243779268176,0.0058853330000019355,0.0
2400,0.7593002961190893,74.29,13.0,0.0906997842788457,0.004594709000002695,0.0
2500,-0.23976118858315076,68.65,4.0,0.08206445256040702,0.004736583999999766,0.0
2600,0.37445379101778975,75.6,10.0,0.07425127223384173,0.004476499999999106,0.0
2700,0.08288684686113724,71.17,7.000000000000001,0.06718196803038223,0.025877665999999522,0.0
2800,0.6387850836731332,71.01,12.0,0.06078571710153414,0.0037129170000014255,0.0
2900,0.2965612414833813,72.52,9.0,0.054998439490143596,0.004581249999997539,0.0
3000,0.06943334286250889,72.7,7.000000000000001,0.05,0.036445582999999004,0.0
3100,0.06293561998247717,71.7,7.000000000000001,0.05,0.0036182500000023765,0.0
3200,0.6361743050902323,73.63,12.0,0.05,0.003796292000000534,0.0
3300,0.7218576674624845,73.05,13.0,0.05,0.004765041999998942,0.0
3400,0.06705922585506066,73.13,7.000000000000001,0.05,0.0039018330000004653,0.0
3500,0.18610045517098597,72.24,8.0,0.05,0.004075207999999719,0.0
3600,0.7247356099707525,75.54,13.0,0.05,0.004921458000001877,0.0
3700,0.6407315522467768,73.37,12.0,0.05,0.004099249999999444,0.0
3800,0.2775942180962298,73.25,9.0,0.05,0.00632237499999988,0.0
3900,0.669358570732848,70.68,12.0,0.05,0.004094750000000147,0.0
4000,0.19295927463521956,72.94,8.0,0.05,0.005056166999999334,0.0
4100,0.616511896503513,73.16,12.0,0.05,0.004894249999999545,0.0
4200,-0.06365046976806654,75.49,6.0,0.05,0.005299166000000355,0.0
4300,-0.39423591585573137,72.11,3.0,0.05,0.0115890830000005,0.0
4400,0.6484580914432512,72.49,12.0,0.05,0.005243000000000109,0.0
4500,0.03719759023758743,74.52,7.000000000000001,0.05,0.005322834000001109,0.0
4600,0.6633065734406955,68.91,12.0,0.05,0.004267874999996479,0.0
4700,0.18770858271574442,72.97,8.0,0.05,0.0049939159999965455,0.0
4800,0.5597797303415313,69.77,11.0,0.05,0.004032374999994204,0.0
4900,0.7526714231367633,72.61,13.0,0.05,0.00490062499999766,0.0
5000,0.5327255512641327,73.9,11.0,0.05,0.004065750000002311,0.0
