episode,height,reward,steps,success,epsilon,actions_forward,actions_backward,actions_left,actions_right
67,72.59633265275795,-2.82926440564634,84,False,0.9351638519212846,3,1,1,0
68,56.870233789496076,-2.874446945269396,75,False,0.9342286880693633,1,0,2,3
69,53.2170600043942,-3.1338482269209083,70,False,0.933294459381294,0,2,1,0
70,61.65419275771413,-2.9760668954260687,73,False,0.9323611649219127,1,0,0,0
71,61.955356356363225,-3.133430441804998,72,False,0.9314288037569908,0,0,0,0
72,68.10511101635689,-3.508658215270697,82,False,0.9304973749532338,2,1,1,1
73,74.50640741318585,-2.8149747577594546,81,False,0.9295668775782806,0,1,0,0
74,52.0916255193044,-3.0573596444559366,70,False,0.9286373107007023,0,1,2,1
75,61.838721031996585,-3.265133220189024,72,False,0.9277086733900016,0,0,0,0
76,57.084491322356996,6.141040889376169,71,True,0.9267809647166116,2,0,0,0
77,78.50438554760284,-3.076360324596979,88,False,0.925854183751895,3,1,2,0
78,64.82770571986008,-3.4606187802034754,77,False,0.9249283295681431,1,0,0,1
79,74.01139230977599,13.34934928092514,86,True,0.9240034012385749,3,1,0,2
80,65.66163242813893,-3.355815223018111,82,False,0.9230793978373364,2,1,3,1
81,66.51078931273645,-3.1879491864314415,75,False,0.9221563184394991,0,0,0,0
82,58.57778969599844,16.022010051309046,77,True,0.9212341621210596,3,1,0,2
83,74.59693403689982,-3.4220563778047968,91,False,0.9203129279589385,1,3,2,5
84,54.55635614339432,-2.956750663750328,71,False,0.9193926150309796,0,1,1,1
85,75.14178414723712,-3.4417546964408605,82,False,0.9184732224159486,0,0,0,1
86,64.1887517358181,-3.3323350967150906,75,False,0.9175547491935327,0,0,0,1
87,73.46296317696805,-3.563413762677765,99,False,0.9166371944443392,6,4,6,3
88,69.30220411742252,-3.0944307221957037,84,False,0.9157205572498949,2,3,1,1
89,79.12195780161687,-3.04093319031785,88,False,0.914804836692645,1,2,2,1
90,75.73543797673179,7.614978885063278,87,True,0.9138900318559524,2,2,1,2
91,60.920624473246235,-2.899516613495935,73,False,0.9129761418240965,0,1,0,0
92,54.680153893864336,-3.241453075572238,67,False,0.9120631656822724,0,0,0,0
93,52.336764621961414,-3.1680139472110467,69,False,0.9111511025165902,1,0,2,0
94,50.642605487157766,-3.0425258175032437,64,False,0.9102399514140735,0,0,0,0
95,65.60159727630904,-3.3221322330982344,76,False,0.9093297114626595,0,0,1,0
96,67.10446075839317,-3.2132487579302182,80,False,0.9084203817511969,0,1,1,2
97,67.3365758781886,-2.9377591016079556,78,False,0.9075119613694457,0,0,2,0
98,53.08282567708493,-3.5799540447274345,70,False,0.9066044494080763,1,1,1,0
99,76.01933740455442,-2.950367396180714,82,False,0.9056978449586682,1,0,0,0
100,61.777463675053795,-2.9944481338646813,77,False,0.9047921471137096,1,1,0,3
101,61.051165324233054,18.481774572634805,79,True,0.9038873549665959,2,2,3,0
102,67.0751256793724,-3.354212923214979,80,False,0.9029834676116293,2,1,1,0
103,74.82994533504294,-3.349844349933289,88,False,0.9020804841440176,0,1,4,3
104,73.56612623344868,-2.987869435098787,79,False,0.9011784036598737,0,0,0,0
105,60.833117541364636,-3.342048462466261,75,False,0.9002772252562138,0,1,1,1
106,67.11436581125615,-3.413858379839998,75,False,0.8993769480309576,0,0,0,0
107,54.042815087522754,-3.3121640334346516,75,False,0.8984775710829266,2,3,2,0
108,65.43335065984138,-3.220244737163805,82,False,0.8975790935118436,1,2,1,3
109,57.029639005782144,-3.266001923766882,76,False,0.8966815144183318,0,4,1,2
110,79.9943973496996,-3.3586839464361926,86,False,0.8957848329039134,1,0,2,0
111,50.13847612067452,-2.768729430830511,64,False,0.8948890480710096,0,0,0,0
112,58.13927541662529,-2.9235973668245396,71,False,0.8939941590229386,0,1,0,0
113,63.956761555121,-3.601701361981199,103,False,0.8931001648639156,11,8,5,5
114,74.21699571696709,-3.4178056914900496,89,False,0.8922070646990518,2,4,3,0
115,71.18393529534504,-3.1428598567940504,77,False,0.8913148576343527,0,0,0,0
116,62.73593269410672,-3.3570487955901402,74,False,0.8904235427767183,0,0,1,0
117,78.51611370901212,-3.4616820873136285,90,False,0.8895331192339416,1,4,1,1
118,51.528012453956684,-3.177123289301162,76,False,0.8886435861147077,1,3,4,2
119,53.08018992419534,-3.060631254851505,69,False,0.887754942528593,1,0,1,0
